Rk,Player,NHL ID,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS
1,Scott Stevens*,stevesc01,29,D,83,18,60,78,53,112,12,5,1,4,38,21,1,215,8.4,,,6.3,6.9,13.2
2,Stephane Richer,richest02,27,RW,80,36,36,72,31,16,26,7,3,9,31,5,0,217,16.6,,,6,1.6,7.6
3,John MacLean,maclejo01,29,LW,80,37,33,70,30,95,29,8,0,4,21,11,1,277,13.4,,,5.9,1.6,7.5
4,Valeri Zelepukin,zelepva01,25,LW,82,26,31,57,36,70,18,8,0,0,27,4,0,155,16.8,,,3.8,1.8,5.6
5,Corey Millen,milleco01,29,C,78,20,30,50,24,52,16,4,0,3,23,7,0,132,15.2,,,2.9,1.4,4.3
6,Bernie Nicholls,nichobe01,32,C,61,19,27,46,24,86,16,3,0,1,17,8,2,142,13.4,,,3.1,1.2,4.4
7,Scott Niedermayer*,niedesc01,20,D,81,10,36,46,34,42,5,5,0,2,26,9,1,135,7.4,,,3,5.6,8.6
8,Bill Guerin,gueribi01,23,RW,81,25,19,44,14,101,23,2,0,3,15,4,0,195,12.8,,,2.7,1.1,3.8
9,Claude Lemieux,lemiecl01,28,RW,79,18,26,44,13,86,13,5,0,5,18,7,1,181,9.9,,,2.2,1,3.2
10,Tom Chorske,chorsto01,27,LW,76,21,20,41,14,32,19,1,1,4,18,0,2,131,16,,,2.3,1.1,3.4
11,Bobby Holík,holikbo01,23,C,70,13,20,33,28,72,11,2,0,3,19,1,0,130,10,,,1.2,1.4,2.6
12,Bob Carpenter,carpebo01,30,C,76,10,23,33,7,51,8,0,2,1,22,1,0,125,8,,,0.7,0.8,1.5
13,Bruce Driver,drivebr01,31,D,66,8,24,32,29,63,4,3,1,0,9,14,1,109,7.3,,,2,4.7,6.6
14,Alexander Semak,semakal01,27,C,54,12,17,29,6,22,8,2,2,2,13,4,0,88,13.6,,,1.4,0.6,2
15,Randy McKay,mckayra02,27,RW,78,12,15,27,24,244,12,0,0,1,15,0,0,77,15.6,,,0.3,1.4,1.7
16,Mike Peluso,pelusmi01,28,LW,69,4,16,20,19,238,4,0,0,0,16,0,0,44,9.1,,,-0.6,1.2,0.5
17,Tommy Albelin,albelto01,29,D,62,2,17,19,20,36,1,1,0,1,9,8,0,62,3.2,,,0.5,3.9,4.4
18,Jaroslav Modrý,modryja01,22,D,41,2,15,17,10,18,0,2,0,0,13,2,0,35,5.7,,,0.7,2.4,3.1
19,Jim Dowd,dowdji01,25,C,15,5,10,15,8,0,3,2,0,0,5,5,0,26,19.2,,,1.1,0.4,1.5
20,Viacheslav Fetisov*,fetisvi01,35,D,52,1,14,15,14,30,1,0,0,0,11,2,1,36,2.8,,,0.2,3.1,3.4
21,David Emma,emmada01,25,C,15,5,5,10,0,2,4,1,0,2,4,1,0,24,20.8,,,0.7,0.1,0.8
22,Ken Daneyko,daneyke01,29,D,78,1,9,10,27,176,1,0,0,1,9,0,0,60,1.7,,,-0.7,5,4.3
23,Jason Smith,smithja01,20,D,41,0,5,5,7,43,0,0,0,0,5,0,0,47,0,,,###############################################################################################################################################################################################################################################################,2.2,1.8
24,Chris Terreri,terrech01,29,G,44,0,2,2,0,4,0,0,0,0,,,,0,,2340,53:11:00,0,0,7.4
25,Ben Hankinson,hankibe01,24,RW,13,1,0,1,0,23,1,0,0,1,0,0,0,14,7.1,,,###############################################################################################################################################################################################################################################################,0.1,-0.2
26,Martin Brodeur*,brodema01,21,G,47,0,0,0,0,2,0,0,0,0,,,,0,,2625,55:51:00,0,0,8.9
27,Scott Pellerin,pellesc01,24,LW,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,0:00:00,0,0
28,Peter Sidorkiewicz,sidorpe01,30,G,3,0,0,0,0,0,0,0,0,0,,,,0,,130,43:17:00,0,0,0.3
