Rk,Player,NHL ID,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS
1,Doug Gilmour*,gilmodo01,30,C,83,27,84,111,25,105,16,10,1,3,50,30,4,167,16.2,,,8.5,1.9,10.4
2,Dave Andreychuk*,andreda01,30,RW,83,53,46,99,22,98,27,21,5,8,24,22,0,333,15.9,,,9.7,1.8,11.4
3,Wendel Clark,clarkwe01,27,LW,64,46,30,76,10,115,25,21,0,8,19,11,0,275,16.7,,,7.9,1.1,9
4,Dave Ellett,elletda01,29,D,68,7,36,43,6,42,2,5,0,1,12,24,0,146,4.8,,,2.8,4,6.8
5,Dmitri Mironov,mirondm01,28,D,76,9,27,36,5,78,6,3,0,0,12,15,0,147,6.1,,,2.2,4.3,6.5
6,Glenn Anderson*,andergl01,33,RW,73,17,18,35,-6,50,12,5,0,3,12,6,0,127,13.4,,,1.6,0.8,2.4
7,Nikolai Borschevsky,borscni01,29,RW,45,14,20,34,6,10,7,7,0,1,9,11,0,105,13.3,,,2.3,0.8,3.1
8,John Cullen,cullejo01,29,C,53,13,17,30,-2,67,11,2,0,4,13,4,0,80,16.3,,,1.6,0.6,2.2
9,Rob Pearson,pearsro01,22,RW,67,12,18,30,-6,189,11,1,0,4,15,3,0,119,10.1,,,1,0.7,1.7
10,Jamie Macoun,macouja01,32,D,82,3,27,30,-5,115,2,1,0,1,21,5,1,122,2.5,,,1.1,4,5.1
11,Todd Gill,gillto01,28,D,45,4,24,28,8,44,2,2,0,1,11,12,1,74,5.4,,,1.8,2.9,4.6
12,Mark Osborne,osborma01,32,RW,73,9,15,24,2,145,7,1,1,2,15,0,0,103,8.7,,,0,1,1
13,Bill Berg,bergbi01,26,LW,83,8,11,19,-3,93,8,0,0,1,11,0,0,99,8.1,,,-0.9,1,0.1
14,Mike Eastwood,eastwmi01,26,C,54,8,10,18,2,28,7,1,0,2,6,4,0,41,19.5,,,0.1,0.8,0.9
15,Peter Zezel,zezelpe01,28,C,41,8,8,16,5,19,8,0,0,0,8,0,0,47,17,,,0.5,0.7,1.1
16,Kent Manderville,mandeke01,22,LW,67,7,9,16,5,63,7,0,0,1,9,0,0,81,8.6,,,-0.6,1,0.4
17,Bob Rouse,rousebo01,29,D,63,5,11,16,8,101,3,1,1,0,8,1,2,77,6.5,,,0.4,3.8,4.3
18,Mike Gartner*,gartnmi01,34,RW,10,6,6,12,9,4,5,1,0,0,4,2,0,30,20,,,1.1,0.4,1.6
19,Mike Krushelnyski,krushmi01,33,C,54,5,6,11,-5,28,4,1,0,1,6,0,0,71,7,,,-0.7,0.5,-0.2
20,Sylvain Lefebvre,lefebsy01,26,D,84,2,9,11,33,79,2,0,0,0,7,1,1,96,2.1,,,-0.7,6.5,5.8
21,Drake Berehowsky,berehdr01,22,D,49,2,8,10,-3,63,0,2,0,2,2,6,0,29,6.9,,,0,2.4,2.4
22,Ken Baumgartner,baumgke01,27,LW,64,4,4,8,-6,185,4,0,0,0,4,0,0,34,11.8,,,-1.4,0.6,-0.8
23,Yanic Perreault,perreya01,22,C,13,3,3,6,1,0,1,2,0,0,3,0,0,24,12.5,,,0.3,0.2,0.5
24,Chris Govedaris,govedch01,23,LW,12,2,2,4,4,14,2,0,0,0,2,0,0,16,12.5,,,0,0.3,0.3
25,Mark Greig,greigma01,24,RW,13,2,2,4,1,10,2,0,0,0,2,0,0,14,14.3,,,0,0.2,0.2
26,Felix Potvin,potvife01,22,G,66,0,4,4,0,4,0,0,0,0,,,,0,,3883,58:50:00,0,0,12.9
27,Guy Larose,larosgu01,26,C,10,1,2,3,-2,10,1,0,0,0,2,0,0,9,11.1,,,0,0.1,0
28,Ken McRae,mcraeke01,25,C,9,1,1,2,1,36,1,0,0,0,1,0,0,11,9.1,,,-0.1,0.1,0.1
29,David Sacco,saccoda01,23,RW,4,1,1,2,-2,4,0,1,0,0,0,1,0,4,25,,,0.1,0,0.1
30,Alexei Kudashov,kudasal01,22,C,25,1,0,1,-3,4,1,0,0,0,0,0,0,24,4.2,,,-0.8,0.2,-0.6
31,Matt Martin,martima01,22,D,12,0,1,1,0,6,0,0,0,0,1,0,0,6,0,,,-0.2,0.6,0.5
32,Greg Smyth,smythgr01,27,D,11,0,1,1,-2,38,0,0,0,0,1,0,0,3,0,,,-0.1,0.5,0.3
33,Patrik Augusta,auguspa01,24,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,-0.1,0,-0.1
34,Frank Bialowas,bialofr01,24,D,3,0,0,0,0,12,0,0,0,0,0,0,0,1,0,,,-0.1,0.2,0.1
35,Mike Foligno,foligmi01,35,RW,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0,,,-0.2,0.1,-0.1
36,David Harlock,harloda01,22,D,6,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,,,-0.1,0.2,0.1
37,Eric Lacroix,lacroer01,22,LW,3,0,0,0,0,2,0,0,0,0,0,0,0,3,0,,,-0.1,0,-0.1
38,Damian Rhodes,rhodeda01,24,G,22,0,0,0,0,2,0,0,0,0,,,,0,,1213,55:09:00,0,0,3.2
39,Chris Snell,snellch01,22,D,2,0,0,0,-1,2,0,0,0,0,0,0,0,4,0,,,0,0,0
