Rk,Player,NHL ID,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS
1,Pavel Bure*,burepa01,22,RW,76,60,47,107,1,86,31,25,4,9,27,18,2,374,16,,,11.3,1,12.3
2,Geoff Courtnall,courtge01,31,LW,82,26,44,70,15,123,13,12,1,2,25,17,2,264,9.8,,,5,1.5,6.6
3,Cliff Ronning,ronnicl01,28,C,76,25,43,68,7,42,15,10,0,4,25,18,0,197,12.7,,,5,1.2,6.2
4,Trevor Linden,lindetr01,23,RW,84,32,29,61,6,73,20,10,2,3,19,10,0,234,13.7,,,4.7,1.3,6
5,Murray Craven,cravemu01,29,C,78,15,40,55,5,30,12,2,1,3,25,12,3,115,13,,,3,1.2,4.1
6,Jyrki Lumme,lummejy01,27,D,83,13,42,55,3,50,9,1,3,3,23,15,4,161,8.1,,,4,4.1,8.2
7,Jiri Slegr,slegrji01,22,D,78,5,33,38,0,86,4,1,0,0,14,19,0,160,3.1,,,2,3.7,5.7
8,Greg Adams,adamsgr02,30,LW,68,13,24,37,-1,20,7,5,1,2,16,5,3,139,9.4,,,1.6,0.9,2.5
9,Dave Babych,babycda01,32,D,73,4,28,32,0,52,4,0,0,2,20,8,0,96,4.2,,,1.5,3.5,5
10,Gino Odjick,odjicgi01,23,LW,76,16,13,29,13,271,12,4,0,5,12,1,0,121,13.2,,,0.9,1.4,2.3
11,Sergio Momesso,momesse01,28,LW,68,14,13,27,-2,149,10,4,0,1,12,1,0,112,12.5,,,0.9,0.8,1.7
12,Dana Murzyn,murzyda01,27,D,80,6,14,20,4,109,5,0,1,0,14,0,0,79,7.6,,,0.5,4,4.6
13,Jimmy Carson,carsoji01,25,C,34,7,10,17,-13,22,5,2,0,1,5,5,0,82,8.5,,,0.7,0,0.8
14,Martin Gelinas,gelinma01,23,RW,33,8,8,16,-6,26,5,3,0,1,6,2,0,54,14.8,,,0.8,0.2,1
15,Jose Charbonneau,charbjo01,27,RW,30,7,7,14,-3,49,6,1,0,0,6,1,0,28,25,,,0.6,0.3,0.9
16,Gerald Diduck,diducge01,28,D,55,1,10,11,2,72,1,0,0,0,6,1,3,50,2,,,-0.1,2.7,2.6
17,Adrien Plavsic,plavsad01,24,D,47,1,9,10,-5,6,1,0,0,1,5,4,0,41,2.4,,,-0.1,1.9,1.9
18,John McIntyre,mcintjo01,24,C,62,3,6,9,-9,38,3,0,0,0,4,0,2,30,10,,,-1.4,0.5,-0.8
19,Dixon Ward,warddi01,25,LW,33,6,1,7,-14,37,4,2,0,1,1,0,0,46,13,,,-0.2,0,-0.2
20,Tim Hunter,hunteti01,33,RW,56,3,4,7,-7,171,2,0,1,1,4,0,0,41,7.3,,,-1.3,0.5,-0.8
21,Dane Jackson,jacksda01,23,RW,12,5,1,6,3,9,5,0,0,0,1,0,0,18,27.8,,,0.5,0.3,0.7
22,Dan Kesa,kesada01,22,RW,19,2,4,6,-3,18,1,1,0,1,4,0,0,18,11.1,,,0,0.2,0.1
23,Jeff Brown,brownje02,27,D,11,1,5,6,2,10,1,0,0,0,1,4,0,41,2.4,,,0.4,0.6,1
24,Robert Dirk,dirkro01,27,D,65,2,3,5,18,105,2,0,0,0,3,0,0,38,5.3,,,-0.8,4.2,3.4
25,Evgeny Namestnikov,namesjo01,22,D,17,0,5,5,-2,10,0,0,0,0,4,1,0,11,0,,,0.1,0.7,0.7
26,Neil Eisenhut,eisenne01,26,C,13,1,3,4,0,21,1,0,0,0,3,0,0,13,7.7,,,-0.1,0.2,0.1
27,Kirk McLean,mcleaki01,27,G,52,0,4,4,0,2,0,0,0,0,,,,0,,3128,60:09:00,0,0,7.2
28,Shawn Antoski,antossh01,23,LW,55,1,2,3,-11,190,1,0,0,1,2,0,0,25,4,,,-1.8,0.4,-1.4
29,Nathan LaFayette,lafayna01,20,C,11,1,1,2,2,4,1,0,0,0,0,1,0,11,9.1,,,-0.2,0.2,0
30,Stephane Morin,morinst01,24,LW,5,1,1,2,0,6,1,0,0,0,1,0,0,6,16.7,,,0.1,0.1,0.1
31,Bret Hedican,hedicbr01,23,D,8,0,1,1,1,0,0,0,0,0,0,1,0,10,0,,,-0.1,0.4,0.4
32,Brian Glynn,glynnbr01,26,D,16,0,0,0,-4,12,0,0,0,0,0,0,0,5,0,,,-0.3,0.5,0.2
33,Michael Peca,pecami01,19,C,4,0,0,0,-1,2,0,0,0,0,0,0,0,5,0,,,-0.2,0,-0.1
34,Kay Whitmore,whitmka01,26,G,32,0,0,0,0,6,0,0,0,0,,,,0,,1921,60:03:00,0,0,2.5
